hotel_id,rate,title,review
0,1.0,"Ne mérite pas 5 étoiles, tout juste 3","Restaurant très décevant,  tout y est trop cher...... La chambre digne d'un 3 étoiles, de la moisissure sur les joints de la baignoire,  le sèche cheveux à qui ne tenait pas dans son support...... L'emplacement est très agréable, c'est vrai, mais nous avons eu des serviettes tachées et les transts en plastique pas nikels. Dans les vestiaires de la plage,  même pas un crochet pour poser nos affaires afin de nous changer ..... Bref, tout est surpayé. Je déconseille fortement cet hôtel."
0,3.0,Les prémices du déclin ,"Habitués depuis quelques années au LUX*Saint Gilles, nous avons l’habitude pour un long week-end de quiétude afin de trouver apaisement, réconfort et gourmandise dans un établissement de standing près de chez nous.  Malheureusement, force est de constater que le cachet dont pouvait se prévaloir l’établissement auparavant perd significativement de son attrait. En effet, nous avons de cesse de remarquer des signes de déclin successifs.  En premier lieu, matériellement. L’ensemble des équipements de la chambre commencent à véritablement souffrir, sans compte les traces de rouille ou d’humidité à certains endroits et la qualité déplorable de leur équipement télé digne des 90s. Ce n’est pas digne d’un établissement 5 étoiles. Le téléphone de chambre ne marchait pas et quand on a du appeler la réception avec notre téléphone portable et que le problème a été signalé... ce n’est venu à l’idée de personne de nous proposer d’arranger ce problème. Du coup, à chaque fois rebelotte: pour joindre la réception on appelait avec notre GSM et ça n’a heurté la sensibilité de personne apparement.  Ensuite, les prestations proposées. Le Covid a le dos large: le mini bar à été vidé. Vous n’y trouverez plus qu’une bouteille d’eau. Au bar la carte des vins au verre se réduit à une seule unité pour rouge/rosé et blanc. Puis proposer du beaujolais uniquement en rouge ... encore une fois: pas au niveau d’un 5 étoiles.  Les pétales de fleur un peu partout c’est chic certes mais beaucoup moins quand elles sont fanées et en dépérissement.  Enfin, sur le professionnalisme du staff. On est passé d’un grand professionnalisme de tous à une performance inégale de chacun. Certain vont tout faire pour vous porter satisfaction même lorsque que les carences (plus de mini bar) ne sont pas de leur fait. D’autres vont justes vous renvoyer sans honte vers un autre service... ou juste être antipathique aussi bien dans l’attitude que dans la parole. Au Check-out nous n’avons même pas eu droit à un semblant d’intérêt à savoir la question que l’on pose même dans un 2 étoiles: « est ce que tout s’est bien passé pour vous? ». Ma réponse eut évité que j’écrive ceci ici aujourd’hui.  Il y a quelques années, il existait encore quelques considérations pour les habitués et même les visiteurs de passages comme nous l’avons été la première fois où nous sommes venus.  A présent, plus rien.  C’est impersonnel, parfois désagréable pour celui qui n’a pas connu le LUX* d’avant. Pour ceux qui ont connu, c’est triste et parfois lamentable que la qualité ait brusquement chuté.  Tite fleur fané ... …"
0,4.0,Très bon moment de détente,"Les chambres sont spacieuses, confortables et au calme. La piscine est magnifique. Le personnel est serviable et accueillant. Le petit déjeuner est très bon, vraiment complet. Lorsque j’y ai été, lors d’un week-end,  les animations musicales étaient très agréables. Je reviendrai !"
0,3.0,"Un belle emplacement, mais tout est vieillissant","N'étant pas revenu à l'hotel Lux depuis 2014, j'ai eu l'étrange sensation de voir que rien n'avait changé, mais que tout avait vieilli. Si le Wifi fonctionne bien, le système TV hors d'âge ne dispense que des chaînes ""enneigées"". De même, la propreté des leiux n'est plus parfaite, et un bon gros dépoussièrage serait nécéssaire.  Enfin, les aménagements des chambres datent et n'ont pas évoluer, avec des prises de courant qui ne tiennent plus dans les mur, des salles de bain hors d'âge...."
0,5.0,Un accueil attentionné,"À l’occasion de notre anniversaire de mariage nous y avons fait un court séjour. Double surprise car nous avons d’abord été surclassés. Au retour de la plage, une bouteille de vin pétillant nous attendait dans son seau à glace, accompagné de petits présents. Ces attentions et un personnel charmant nous ont fait apprécier ce moment. Merci à Eric Laurent et à son équipe!"
0,1.0,"Ne mérite pas 5 étoiles, tout juste 3","Restaurant très décevant,  tout y est trop cher...... La chambre digne d'un 3 étoiles, de la moisissure sur les joints de la baignoire,  le sèche cheveux à qui ne tenait pas dans son support...... L'emplacement est très agréable, c'est vrai, mais nous avons eu des serviettes tachées et les transts en plastique pas nikels. Dans les vestiaires de la plage,  même pas un crochet pour poser nos affaires afin de nous changer ..... Bref, tout est surpayé. Je déconseille fortement cet hôtel."
0,3.0,Les prémices du déclin ,"Habitués depuis quelques années au LUX*Saint Gilles, nous avons l’habitude pour un long week-end de quiétude afin de trouver apaisement, réconfort et gourmandise dans un établissement de standing près de chez nous.  Malheureusement, force est de constater que le cachet dont pouvait se prévaloir l’établissement auparavant perd significativement de son attrait. En effet, nous avons de cesse de remarquer des signes de déclin successifs.  En premier lieu, matériellement. L’ensemble des équipements de la chambre commencent à véritablement souffrir, sans compte les traces de rouille ou d’humidité à certains endroits et la qualité déplorable de leur équipement télé digne des 90s. Ce n’est pas digne d’un établissement 5 étoiles. Le téléphone de chambre ne marchait pas et quand on a du…"
0,4.0,Très bon moment de détente,"Les chambres sont spacieuses, confortables et au calme. La piscine est magnifique. Le personnel est serviable et accueillant. Le petit déjeuner est très bon, vraiment complet. Lorsque j’y ai été, lors d’un week-end,  les animations musicales étaient très agréables. Je reviendrai !"
0,3.0,"Un belle emplacement, mais tout est vieillissant","N'étant pas revenu à l'hotel Lux depuis 2014, j'ai eu l'étrange sensation de voir que rien n'avait changé, mais que tout avait vieilli. Si le Wifi fonctionne bien, le système TV hors d'âge ne dispense que des chaînes ""enneigées"". De même, la propreté des leiux n'est plus parfaite, et un bon gros dépoussièrage serait nécéssaire.  Enfin, les aménagements des chambres datent et n'ont pas évoluer, avec des prises de courant qui ne tiennent plus dans les mur, des salles de bain hors d'âge...."
0,5.0,Un accueil attentionné,"À l’occasion de notre anniversaire de mariage nous y avons fait un court séjour. Double surprise car nous avons d’abord été surclassés. Au retour de la plage, une bouteille de vin pétillant nous attendait dans son seau à glace, accompagné de petits présents. Ces attentions et un personnel charmant nous ont fait apprécier ce moment. Merci à Eric Laurent et à son équipe!"
0,1.0,"Ne mérite pas 5 étoiles, tout juste 3","Restaurant très décevant,  tout y est trop cher...... La chambre digne d'un 3 étoiles, de la moisissure sur les joints de la baignoire,  le sèche cheveux à qui ne tenait pas dans son support...... L'emplacement est très agréable, c'est vrai, mais nous avons eu des serviettes tachées et les transts en plastique pas nikels. Dans les vestiaires de la plage,  même pas un crochet pour poser nos affaires afin de nous changer ..... Bref, tout est surpayé. Je déconseille fortement cet hôtel."
0,3.0,Les prémices du déclin ,"Habitués depuis quelques années au LUX*Saint Gilles, nous avons l’habitude pour un long week-end de quiétude afin de trouver apaisement, réconfort et gourmandise dans un établissement de standing près de chez nous.  Malheureusement, force est de constater que le cachet dont pouvait se prévaloir l’établissement auparavant perd significativement de son attrait. En effet, nous avons de cesse de remarquer des signes de déclin successifs.  En premier lieu, matériellement. L’ensemble des équipements de la chambre commencent à véritablement souffrir, sans compte les traces de rouille ou d’humidité à certains endroits et la qualité déplorable de leur équipement télé digne des 90s. Ce n’est pas digne d’un établissement 5 étoiles. Le téléphone de chambre ne marchait pas et quand on a du…"
0,4.0,Très bon moment de détente,"Les chambres sont spacieuses, confortables et au calme. La piscine est magnifique. Le personnel est serviable et accueillant. Le petit déjeuner est très bon, vraiment complet. Lorsque j’y ai été, lors d’un week-end,  les animations musicales étaient très agréables. Je reviendrai !"
0,3.0,"Un belle emplacement, mais tout est vieillissant","N'étant pas revenu à l'hotel Lux depuis 2014, j'ai eu l'étrange sensation de voir que rien n'avait changé, mais que tout avait vieilli. Si le Wifi fonctionne bien, le système TV hors d'âge ne dispense que des chaînes ""enneigées"". De même, la propreté des leiux n'est plus parfaite, et un bon gros dépoussièrage serait nécéssaire.  Enfin, les aménagements des chambres datent et n'ont pas évoluer, avec des prises de courant qui ne tiennent plus dans les mur, des salles de bain hors d'âge...."
0,5.0,Un accueil attentionné,"À l’occasion de notre anniversaire de mariage nous y avons fait un court séjour. Double surprise car nous avons d’abord été surclassés. Au retour de la plage, une bouteille de vin pétillant nous attendait dans son seau à glace, accompagné de petits présents. Ces attentions et un personnel charmant nous ont fait apprécier ce moment. Merci à Eric Laurent et à son équipe!"
0,5.0,Hotel 5 étoiles les pieds dans le lagon bleu,Magnifique hotel aux prestations remarquables et au service irréprochable.   Excellent petit-déjeuner et très bons restaurants pour le midi ou pour le soir (3 restaurants + le bar)  Nous y avons célébré notre anniversaire de mariage et tout était parfait comme d'habitude! Beaucoup d'attentions particulières qui ont rendu notre séjour inoubliable.  Il s'agissait de notre 4ème séjour dans cet hotel et nous y reviendrons certainement.
0,5.0,Week-end entre copines,"Notre week-end était prévu à Maurice, donc annulé...via l'agence de voyage, nous avons décidé de le passer au Lux.  Nous étions 4 copines de gym....Super moment de détente, le personnel est très professionnel : l'accueil à l'arrivée comme au départ, rien à dire...., les barmans (coktails top d'Axel), les serveurs de plage, au kiosque des glaces...le personnel des restaurants....une mention spéciale à Henri et à Ibrahim (très émue de l'avoir connu enfant et le revoir dans cet établissement une trentaine d'années plus tard) ....Bravo et Félicitations à toute l'équipe de cet hôtel, pour moi Zéro faute....je suis fière en tant que réunionnaise  de voir qu'a la Réunion un Hôtel peut nous satisfaire autant qu'un de Maurice qui sont les champions en la matière....  De vendredi à…"
0,5.0,Une belle parenthèse improvisee ,"Toujours un plaisir de passer un séjour dans cette belle structure! Séjour improvisé en dernière minute grâce à une promo très attirante (merci Le Lux !) La chambre toujours impeccable, les buffets dîners et petits dej très complets. Un grand merci surtout au personnel qui a pris grand soin de nous, l équipe de là bagagerie qui a été très disponible pour nous véhiculer (étant en béquille), l équipe du snack de plage (merci Kevin!), les conseils du barmaid pour préparer des rhums arrangés et l équipe de l accueil! Et... Cerise sur le gâteau, nous avons une belle attention pour notre fidélité (re-merci Le Lux !!). En bref, on a adoré, on y reviendra ! "
0,4.0,Cadre magnifique,"Points fort : Personnel professionnel, souriant, serviable et à l’écoute. Cadre bord de mer apaisant. Chambre propre , literie très spacieux et confortable. La piscine et ses terrasses alentours rend le cadre très agréable. Petit déjeuner correct.   Point faible : Qualité image de la télé décevant pour un 5 étoiles, Difficultés à se connecter au wifi. Place de parking un peu étroite. Dommage qu’il n’y ai pas de jacuzzi au spa. Tarifs un peu élevés au bar, le cocktails de fruit frais c’était un simple  jus d’orange et ananas  Je ne pourrais pas juger les repas car je n’y ai pas diner."
0,3.0,Surprise,"Équipe réactive et agréable, bon accueil mais c'est vrai que niveau inférieur à  un 5 étoiles de Maurice. Cour avec équipement désuet mais belle et grande piscine. Beaucoup d'efforts par rapport au contexte Covid."
0,4.0,Au top seul bémol la chambre...,"En lisant les commentaires précédents...je pense sincèrement que nous n'avons pas eu de chance dans la répartition des chambres...(121) .  Je vais commencer par les points positifs : - le personnel,  vraiment au top , tres serviable,  aimable etc.... merci a vous. - l'établissement est super , la piscine , les restos , les.cocktails (alcoolisés j'ai pas goûté les autres)  -le petit dej MONSTRUEUX même si la dame qui fait les œufs toute seul fait un gros boulot pour servir tout le monde.   En revanche pour la chambre nous avons été un peu déçu par rapport au standing de l'hôtel.   - Infiltrations d'eau (voir photo) - baignoire et douchette avec une fuite  - Une réparation ( Finition gros doigt) avec de l'enduit posé la .... sans peinture ni même ponçage.....(photo) - une chambre…"
0,5.0,Un week-end entre filles 🥰,"Nous avons passé un week-end déconnectant ! Je remercie Mme Isabelle Morel, la responsable de la réception pour nous avoir accueilli chaleureusement et répondu à nos attentes durant ce court séjour.  Nous avons profité de ce moment dans un cadre parfait, un petit déjeuner à tomber par terre! L’omelette est toujours délicieuse - merci à tout le personnel également pour les sourires ! Et nous avons bien dormi!"
